Fold,Model,Target,R2,MSE
1,Tangent,h_CAD_mm,0.9994753814446401,0.24831481861232324
2,Tangent,h_CAD_mm,0.9994816450289044,0.24538261371111222
3,Tangent,h_CAD_mm,0.9993626790738763,0.30172490960652787
4,Tangent,h_CAD_mm,0.9993446121341761,0.3108872985005815
5,Tangent,h_CAD_mm,0.9993924142864657,0.2880921028856742
