Angle (degrees),Height,Peça,Scan,Iteração,Part,stepdown,tool diameter,input angle,input height
38.76680851673679,24.589883859372307,III,markers,1,part1,0.7,12,40,25.2
38.71768959664884,24.58813213718234,III,markers,1,part2,0.7,12,40,25.2
38.79690057784275,24.42818693685447,III,markers,2,part1,0.7,12,40,25.2
38.79084524059858,24.673229997931823,III,markers,2,part2,0.7,12,40,25.2
38.74206079119406,24.5574525920475,III,markers,3,part1,0.7,12,40,25.2
38.644534094850506,24.662929085565896,III,markers,3,part2,0.7,12,40,25.2
39.35587053780775,24.55494606478867,III,markers,4,part1,0.7,12,40,25.2
38.73991814135602,24.62372757872307,III,markers,4,part2,0.7,12,40,25.2
38.871719410875954,24.369963148675083,III,markers,5,part1,0.7,12,40,25.2
38.910851626467306,24.581966151072223,III,markers,5,part2,0.7,12,40,25.2
38.68226061921445,24.427077598016968,III,markers,6,part1,0.7,12,40,25.2
38.83017657610156,24.712029208309872,III,markers,6,part2,0.7,12,40,25.2
38.80507102413179,24.55009570746846,III,markers,7,part1,0.7,12,40,25.2
38.77955961189125,24.47508348616129,III,markers,7,part2,0.7,12,40,25.2
39.060595719124215,24.536148759999996,III,markers,8,part1,0.7,12,40,25.2
38.81895441186702,24.60019950983333,III,markers,8,part2,0.7,12,40,25.2
39.04249837855374,24.786363707744048,III,markers,1,part1,0.7,12,40,25.2
38.91910416430855,24.410753699275865,III,markers,1,part2,0.7,12,40,25.2
38.94370993919126,24.66414999404805,III,markers,2,part1,0.7,12,40,25.2
38.71779173594271,24.76663053196241,III,markers,2,part2,0.7,12,40,25.2
39.3398252264327,24.73008664908214,III,markers,3,part1,0.7,12,40,25.2
38.61371440531149,24.70018206116316,III,markers,3,part2,0.7,12,40,25.2
39.65420082511767,24.511965510197506,III,markers,4,part1,0.7,12,40,25.2
38.96527985664503,24.36776832698396,III,markers,4,part2,0.7,12,40,25.2
38.78673284923436,24.566628220264704,III,markers,5,part1,0.7,12,40,25.2
38.96343018987618,24.832466672275675,III,markers,5,part2,0.7,12,40,25.2
39.153795246077536,24.56558230041936,III,markers,6,part1,0.7,12,40,25.2
38.84931341245767,24.710144901917545,III,markers,6,part2,0.7,12,40,25.2
39.05836782017378,24.668365516399994,III,markers,7,part1,0.7,12,40,25.2
38.99970273850244,24.77274662066429,III,markers,7,part2,0.7,12,40,25.2
39.08490734170386,24.735102721703296,III,markers,8,part1,0.7,12,40,25.2
38.932006085301445,24.735481808333333,III,markers,8,part2,0.7,12,40,25.2
39.18548693560247,24.384038401099204,III,markers,1,part1,0.7,12,40,25.2
38.496847494881145,24.416769209727683,III,markers,1,part2,0.7,12,40,25.2
38.95838206382292,24.37555755226857,III,markers,2,part1,0.7,12,40,25.2
38.517424154860144,24.428075036160003,III,markers,2,part2,0.7,12,40,25.2
39.26065558137775,24.332884500058825,III,markers,3,part1,0.7,12,40,25.2
38.65545145488488,24.468878305481805,III,markers,3,part2,0.7,12,40,25.2
39.170767885800274,24.28917296468571,III,markers,4,part1,0.7,12,40,25.2
38.8631559603797,24.261284680203342,III,markers,4,part2,0.7,12,40,25.2
38.868400522424,24.180324232959705,III,markers,5,part1,0.7,12,40,25.2
38.6843192508558,24.19356290508142,III,markers,5,part2,0.7,12,40,25.2
39.012821286909535,24.372860151005494,III,markers,6,part1,0.7,12,40,25.2
38.74812828978602,24.432264242473945,III,markers,6,part2,0.7,12,40,25.2
39.02992111262032,24.426521593647617,III,markers,7,part1,0.7,12,40,25.2
39.274815408107976,24.373653218076925,III,markers,7,part2,0.7,12,40,25.2
39.12172827741482,24.32342168845961,III,markers,8,part1,0.7,12,40,25.2
39.19448277065035,24.45367150698413,III,markers,8,part2,0.7,12,40,25.2
38.39950701759104,24.249562974278795,III,markers,1,part1,0.7,12,40,25.2
39.02786824518413,24.91792555481548,III,markers,1,part2,0.7,12,40,25.2
38.74454535035884,24.234341479441177,III,markers,2,part1,0.7,12,40,25.2
38.722871584293024,24.50440899041418,III,markers,2,part2,0.7,12,40,25.2
38.49932010306722,24.35002267237333,III,markers,3,part1,0.7,12,40,25.2
39.14271557450362,24.93661736071717,III,markers,3,part2,0.7,12,40,25.2
38.35336778036943,24.329030628647057,III,markers,4,part1,0.7,12,40,25.2
38.89301631931254,24.858281961921158,III,markers,4,part2,0.7,12,40,25.2
38.91321649981583,24.25032450173272,III,markers,5,part1,0.7,12,40,25.2
39.00340458502839,24.78373449917708,III,markers,5,part2,0.7,12,40,25.2
39.02178165506572,24.551203252991662,III,markers,6,part1,0.7,12,40,25.2
38.17709104814093,24.419706182892163,III,markers,6,part2,0.7,12,40,25.2
38.853294921527336,24.70079995789743,III,markers,7,part1,0.7,12,40,25.2
38.38907862800863,24.29647840887875,III,markers,7,part2,0.7,12,40,25.2
39.25429120347549,24.813530026207317,III,markers,8,part1,0.7,12,40,25.2
38.182598820826925,24.33804215638602,III,markers,8,part2,0.7,12,40,25.2
70.16953342066732,82.37959298238773,II,markers,1,part1,0.3,12,70,82.4
70.06156860684534,82.33067255264692,II,markers,1,part2,0.3,12,70,82.4
70.02272039223388,81.7891976226389,II,markers,2,part1,0.3,12,70,82.4
69.92235896970526,82.38880626234224,II,markers,2,part2,0.3,12,70,82.4
70.17007112123345,82.29687561222646,II,markers,3,part1,0.3,12,70,82.4
70.03886221362073,82.31534793216666,II,markers,3,part2,0.3,12,70,82.4
70.15745029403377,82.20509324360798,II,markers,4,part1,0.3,12,70,82.4
69.92514626805811,82.28945992897471,II,markers,4,part2,0.3,12,70,82.4
70.09351340241369,82.01925138877249,II,markers,5,part1,0.3,12,70,82.4
69.90350722099008,82.46020668937435,II,markers,5,part2,0.3,12,70,82.4
69.96832779807178,81.96117628921141,II,markers,6,part1,0.3,12,70,82.4
70.04506677166862,82.39816730828684,II,markers,6,part2,0.3,12,70,82.4
69.95018081855005,82.0425239786424,II,markers,7,part1,0.3,12,70,82.4
70.01685759441796,82.0054786669375,II,markers,7,part2,0.3,12,70,82.4
70.00238581472304,82.18022363179313,II,markers,8,part1,0.3,12,70,82.4
70.1245576198131,82.19830461867856,II,markers,8,part2,0.3,12,70,82.4
70.1102401611226,82.37603015145532,II,markers,1,part1,0.3,12,70,82.4
70.26841140482175,82.3477783247375,II,markers,1,part2,0.3,12,70,82.4
70.27258461464537,82.23877753141375,II,markers,2,part1,0.3,12,70,82.4
69.91622259747393,82.49119574532143,II,markers,2,part2,0.3,12,70,82.4
70.08542759191408,82.4477683369338,II,markers,3,part1,0.3,12,70,82.4
70.26717431154822,82.36546451307142,II,markers,3,part2,0.3,12,70,82.4
70.14494570618353,82.439789794997,II,markers,4,part1,0.3,12,70,82.4
70.24488779483923,82.41666202537216,II,markers,4,part2,0.3,12,70,82.4
70.25325773807629,82.42616962360984,II,markers,5,part1,0.3,12,70,82.4
70.16502113836431,82.26207769099221,II,markers,5,part2,0.3,12,70,82.4
70.22516391680813,81.9472999282258,II,markers,6,part1,0.3,12,70,82.4
69.78669357532665,82.35154757834901,II,markers,6,part2,0.3,12,70,82.4
70.14972621910172,82.01833423647179,II,markers,7,part1,0.3,12,70,82.4
69.91568579948347,82.31560845907842,II,markers,7,part2,0.3,12,70,82.4
70.1553978592337,82.12644883821301,II,markers,8,part1,0.3,12,70,82.4
69.94393270615973,82.41340579305898,II,markers,8,part2,0.3,12,70,82.4
70.16452944380039,82.41267849249647,II,markers,1,part1,0.3,12,70,82.4
70.02219433269515,82.34266246416536,II,markers,1,part2,0.3,12,70,82.4
70.18643449802934,81.94454357078881,II,markers,2,part1,0.3,12,70,82.4
69.95925718068608,82.47282360401078,II,markers,2,part2,0.3,12,70,82.4
70.26537514535087,82.3616511413525,II,markers,3,part1,0.3,12,70,82.4
69.95381922734728,82.48417873850751,II,markers,3,part2,0.3,12,70,82.4
70.18061160545012,82.32021410047994,II,markers,4,part1,0.3,12,70,82.4
69.89053052261742,82.4444775544706,II,markers,4,part2,0.3,12,70,82.4
70.21157502572778,82.18198379416134,II,markers,5,part1,0.3,12,70,82.4
69.87596803288062,82.50165088154924,II,markers,5,part2,0.3,12,70,82.4
70.02224733296677,82.07845440524609,II,markers,6,part1,0.3,12,70,82.4
70.0990359828137,82.18038958177885,II,markers,6,part2,0.3,12,70,82.4
70.06724695539667,82.15370569897681,II,markers,7,part1,0.3,12,70,82.4
70.15635579170592,82.240600325725,II,markers,7,part2,0.3,12,70,82.4
70.03027023574782,82.23494634655486,II,markers,8,part1,0.3,12,70,82.4
70.18450078690509,82.48430249692858,II,markers,8,part2,0.3,12,70,82.4
70.35873314001336,82.21812549517145,II,markers,1,part1,0.3,12,70,82.4
70.11868695086048,82.54107112222864,II,markers,1,part2,0.3,12,70,82.4
70.07348061086161,82.03630089247022,II,markers,2,part1,0.3,12,70,82.4
70.00787387528649,82.42439937990648,II,markers,2,part2,0.3,12,70,82.4
70.20342309563334,81.9583817533869,II,markers,3,part1,0.3,12,70,82.4
69.92586163726047,82.45858316356697,II,markers,3,part2,0.3,12,70,82.4
