Peça,Angle1_mean,Angle1_var,Angle2_mean,Angle2_var,Angle3_mean,Angle3_var,Angle4_mean,Angle4_var,Height_mean,Height_var,Width_mean,Width_var,Iteração_mean,Iteração_var,RowNum_mean,RowNum_var
"['base calco 1', 'IGS']",89.06466586342822,0.0065180127172455105,89.08254699494069,0.007931182165531365,89.22177991015333,0.013604718066556424,89.23966104166578,0.012341169999845737,22.1347272863827,0.0004204208295629056,150.3849969505586,0.07609807847555747,1.0,0.0,46.0,1.0
"['base calco 2', 'IGS']",89.0709933239204,0.04363528396147036,89.04016836381767,0.04554764725766176,88.88161539519986,0.08526411390230032,88.85079043509712,0.08051791237534704,22.276683533866134,0.005152694444225438,150.50380012826986,0.0015041982511744194,1.0,0.0,46.0,1.0
"['base calco 3', 'IGS']",88.69808937315979,0.04590771106829946,88.70267173247754,0.049505315490095333,88.52359969827035,0.06882497486374607,88.5281820575881,0.06919966574163987,22.320403568856154,0.0005369442964043781,150.51808888846105,0.00555955533309785,1.0,0.0,46.0,1.0
