Angle (degrees),Height,Peça,Scan,Iteração,Part,stepdown,tool diameter,input angle,input height
40.74844937420545,25.40189728678125,LMA,markers,1,part1,0.7,12,40.66979713,25.64634515
40.04391810450243,25.409951375307603,LMA,markers,1,part2,0.7,12,40.66979713,25.64634515
40.30672758594464,25.569970892885376,LMA,markers,2,part1,0.7,12,40.66979713,25.64634515
40.06197849165091,25.60855338950513,LMA,markers,2,part2,0.7,12,40.66979713,25.64634515
40.695251022910966,25.45032659474872,LMA,markers,3,part1,0.7,12,40.66979713,25.64634515
40.0342256559583,25.4613716061,LMA,markers,3,part2,0.7,12,40.66979713,25.64634515
40.37260751391304,25.521328922034648,LMA,markers,4,part1,0.7,12,40.66979713,25.64634515
39.71943065960568,25.492187538368427,LMA,markers,4,part2,0.7,12,40.66979713,25.64634515
40.11077595457366,25.50869431229618,LMA,markers,5,part1,0.7,12,40.66979713,25.64634515
40.040092410342965,25.43745869068333,LMA,markers,5,part2,0.7,12,40.66979713,25.64634515
40.41291730476597,25.384484884034965,LMA,markers,6,part1,0.7,12,40.66979713,25.64634515
40.573123241568574,25.3890431581875,LMA,markers,6,part2,0.7,12,40.66979713,25.64634515
40.431406794600434,25.667470034908977,LMA,markers,7,part1,0.7,12,40.66979713,25.64634515
40.61338111906619,25.386791129414284,LMA,markers,7,part2,0.7,12,40.66979713,25.64634515
40.284477325277024,25.673251510732143,LMA,markers,8,part1,0.7,12,40.66979713,25.64634515
40.88026327340442,25.38122749271795,LMA,markers,8,part2,0.7,12,40.66979713,25.64634515
39.7378445184338,25.480736942225,LMA,markers,1,part1,0.7,12,40.66979713,25.64634515
40.04912254944861,25.52974680638588,LMA,markers,1,part2,0.7,12,40.66979713,25.64634515
40.507716765517145,25.43645027164352,LMA,markers,2,part1,0.7,12,40.66979713,25.64634515
40.013607030139326,25.321687102470086,LMA,markers,2,part2,0.7,12,40.66979713,25.64634515
40.06585334127783,25.35402982044615,LMA,markers,3,part1,0.7,12,40.66979713,25.64634515
40.01267040061811,25.41563024339276,LMA,markers,3,part2,0.7,12,40.66979713,25.64634515
